,company_code,ibl_distributor_code,ibl_distributor_desc,branch_code,branch_desc,distributor_location_id,distributor_location_desc,order_no,invoice_number,invoice_date,channel,distributor_customer_code,ibl_customer_code,ref_customer_code,ibl_customer_name,brick_code,brick_name,ADD1,ADD2,ADD3,distributor_item_code,ibl_item_code,ibl_item_description,sold_qty,gross_amount,bonus_qty,discount,reason,data_loading_date,transfer_date,record_date,address
0,6300,2000087658,Nusrat Pharma,8045,Kotli,29,Kotli             ,,102,2023-08-03,RETAILER,505,2000163124,2000163124,,1010101.0,KOTLI,DHQ Road Kotli,,,1008,1013000013,EXTOR 10/160 TABLETS 14'S (PAK),1.0,439.29,0.0,0.0,SALES,,2023-10-05 16:07:47.349227,20230928.0,DHQ gali
1,6300,2000087658,Nusrat Pharma,8045,Kotli,29,Kotli             ,,102,2023-08-03,RETAILER,505,2000163124,2000163124,,1010101.0,KOTLI,DHQ Road Kotli,,,1016,1013000034,LAMNET 25MG TAB 30's (PAK),1.0,350.16,0.0,0.0,SALES,,2023-10-05 16:07:47.349227,20230928.0,DHQ gali
2,6300,2000087658,Nusrat Pharma,8045,Kotli,29,Kotli             ,,102,2023-08-03,RETAILER,505,2000163124,2000163124,,1010101.0,KOTLI,DHQ Road Kotli,,,1051,1013000104,Tramal plus Tablet 10'S,3.0,441.27,0.0,0.0,SALES,,2023-10-05 16:07:47.349227,20230928.0,DHQ gali
3,6300,2000087658,Nusrat Pharma,8045,Kotli,29,Kotli             ,,102,2023-08-03,RETAILER,505,2000163124,2000163124,,1010101.0,KOTLI,DHQ Road Kotli,,,1053,1013000106,TRAMAL 100MG SR TAB 10's (PAK),3.0,875.19,0.0,0.0,SALES,,2023-10-05 16:07:47.349227,20230928.0,DHQ gali
4,6300,2000087658,Nusrat Pharma,8045,Kotli,29,Kotli             ,,102,2023-08-03,RETAILER,505,2000163124,2000163124,,1010101.0,KOTLI,DHQ Road Kotli,,,1082,1013000528,MORCET 5MG TAB 14's (PAK),3.0,561.0,0.0,0.0,SALES,,2023-10-05 16:07:47.349227,20230928.0,DHQ gali
5,6300,2000087658,Nusrat Pharma,8045,Kotli,29,Kotli             ,,102,2023-08-03,RETAILER,505,2000163124,2000163124,,1010101.0,KOTLI,DHQ Road Kotli,,,1294,1013000035,LAMNET 50MG TAB 30's (PAK),1.0,484.22,0.0,0.0,SALES,,2023-10-05 16:07:47.349227,20230928.0,DHQ gali
6,6300,2000087658,Nusrat Pharma,8045,Kotli,29,Kotli             ,,103,2023-08-03,RETAILER,418,2000087704,2000087704,,1010101.0,KOTLI,DHQ road,,,1027,1013000063,NUBEROL FORTE TAB 15's (PAK),10.0,995.4,0.0,0.0,SALES,,2023-10-05 16:07:47.349227,20230928.0,DHQ road
7,6300,2000087658,Nusrat Pharma,8045,Kotli,29,Kotli             ,,103,2023-08-03,RETAILER,418,2000087704,2000087704,,1010101.0,KOTLI,DHQ road,,,1077,1013000158,PEDITRAL SACHET O/F 30 gm (PAK),50.0,1063.0,0.0,0.0,SALES,,2023-10-05 16:07:47.349227,20230928.0,DHQ road
8,6300,2000087658,Nusrat Pharma,8045,Kotli,29,Kotli             ,,103,2023-08-03,RETAILER,418,2000087704,2000087704,,1010101.0,KOTLI,DHQ road,,,1158,1019001992,Selanz 30mg Capsule (2 x 7's),2.0,598.4,0.0,0.0,SALES,,2023-10-05 16:07:47.349227,20230928.0,DHQ road
9,6300,2000087658,Nusrat Pharma,8045,Kotli,29,Kotli             ,,103,2023-08-03,RETAILER,418,2000087704,2000087704,,1010101.0,KOTLI,DHQ road,,,1249,1913000121,Maltofer 120 ml Syrup,2.0,543.52,0.0,0.0,SALES,,2023-10-05 16:07:47.349227,20230928.0,DHQ road
